FID,id1,aa,company,a_m,thesh,kal_dhm_enothta,kal_perif_enothta,kal_dhmos,power,area_power,katastash_code,katastash_descr,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_PHOTOVOLTAICS13.12616,12616,Γ-01853,SOLAR ΧΑΛΑΝΔΡΙΤΣΑ ΕΝΕΡΓΕΙΑΚΗ Α.Ε.,ΑΔ-01341,ΜΕΡΤΕΚΙ ΧΑΛΑΝΔΡΙΤΣΑΣ,ΦΑΡΡΩΝ,ΑΧΑΪΑΣ,ΕΡΥΜΑΝΘΟΥ,1.849,20.596,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-04-10,2009-12-15,"MULTIPOLYGON (((21.761864573868237 38.10700961060184, 21.761545014594457 38.10739099493462, 21.76144915865746 38.107542355517026, 21.76140191791332 38.10759552129074, 21.76155901230075 38.1076796148069, 21.761671065705027 38.107744827649796, 21.762064491137952 38.107932545717325, 21.76238595861896 38.10823603498612, 21.762507487756167 38.108364504818226, 21.762890619898695 38.108515979923276, 21.76317461025716 38.10817896971283, 21.762938277391875 38.10807534698432, 21.763025206023475 38.1078427158107, 21.76318367657288 38.107881778208714, 21.763356432354133 38.10745253855178, 21.76369506924039 38.1075671194901, 21.763717590138604 38.10757655934712, 21.76372953725189 38.10755876475594, 21.763860131164734 38.107390041582676, 21.76392041561609 38.10728305690938, 21.763876472520383 38.10722815403749, 21.763821131767386 38.107173034139365, 21.763753844069363 38.10713570881586, 21.763617895514066 38.10710608709549, 21.763549783939286 38.107095779080936, 21.763356022925578 38.107092089277735, 21.76322982400659 38.10711671900263, 21.763127244635132 38.107114765336945, 21.763014091811282 38.10708557708164, 21.762888442333786 38.10709219483017, 21.762786412572012 38.107072229263146, 21.762706079117134 38.10708872105696, 21.762672435596897 38.10707005809001, 21.762570405933815 38.10705009233796, 21.762433633626603 38.1070474866668, 21.76236524747962 38.10704618377159, 21.762274340795347 38.107035440716984, 21.762149241083566 38.1070240460777, 21.761864573868237 38.10700961060184)), ((21.76453533036218 38.1058169522326, 21.764407486605442 38.10589561819496, 21.764108269082733 38.106358496343546, 21.7640602071816 38.10643868071402, 21.76382195597496 38.106398100542876, 21.763617897835513 38.10635817098427, 21.763238755465295 38.10645007233473, 21.76297661058293 38.10644507954916, 21.763298899875508 38.1067215488888, 21.763267588448713 38.107000294737205, 21.763278986139476 38.107000511801424, 21.76332430219483 38.10701038585289, 21.76335822056867 38.10702004283172, 21.763381015957854 38.10702047694165, 21.76336906885595 38.10703827149897, 21.763402437849464 38.10706594007747, 21.763482221766086 38.10706745941446, 21.763618994208553 38.107070063866246, 21.7636873804364 38.107071366032486, 21.76376716437446 38.1070728851762, 21.763778562080393 38.107073102192324, 21.76382195571556 38.107146016714, 21.763866997299672 38.10716489636946, 21.76398935131651 38.10726634728771, 21.764011872164954 38.10727578708703, 21.76402299527846 38.10728500988989, 21.76418064141448 38.10735108835472, 21.7643046437366 38.10739850410016, 21.764327988437174 38.107380926407714, 21.76437550155424 38.107318753572905, 21.764411342271604 38.10726536957324, 21.764446633788907 38.10722999718494, 21.764505269864273 38.10717704705317, 21.76452833988289 38.10716847512933, 21.764517765848094 38.10714124074727, 21.764563631296486 38.10713310270212, 21.764610594943868 38.1070889413852, 21.765197368151664 38.10691988728766, 21.765243233398053 38.10691174897008, 21.765404173365397 38.10686975598691, 21.765559204121573 38.10664742953997, 21.765433968562736 38.10653547206229, 21.76523663183871 38.10637997196635, 21.764946882097508 38.10615819335036, 21.764880418227403 38.10609385122747, 21.764691326721234 38.10593706483556, 21.764680478248387 38.10591883628214, 21.76464710925509 38.10589116806315, 21.76461346574749 38.10587250565064, 21.76453533036218 38.1058169522326)))"
V_SDI_R_PHOTOVOLTAICS13.12629,12629,Γ-02729,ΠΕΛΟΠΟΝΝΗΣΙΑΚΟΣ ΗΛΙΟΣ 1 Α.Ε,ΑΔ-02144,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΟΙΚ. ΥΠΑΤΟΥ,ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,4.56,27.438,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-08-10,2010-10-20,"MULTIPOLYGON (((23.44987355547556 38.39445311109319, 23.45193065842607 38.396153155554956, 23.456392989382078 38.39512852466992, 23.455457628361103 38.39311447358566, 23.451640943804975 38.39357432604926, 23.450197330280197 38.393675710001496, 23.44987355547556 38.39445311109319)))"
V_SDI_R_PHOTOVOLTAICS13.12380,12380,Γ-02305,ΤΣΑΙΡΗΣ ΠΕΡΙΑΝΔΡΟΣ & ΣΙΑ ΕΕ (Δ.Τ. VRUSTI SUN 2),ΑΔ-01379,ΨΗΛΟ ΚΟΤΡΩΝΙ,ΛΥΡΚΕΙΑΣ,ΑΡΓΟΛΙΔΑΣ,ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,1.995,23.178,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2009-12-15,"MULTIPOLYGON (((22.625257187896974 37.63803575552777, 22.627339604351445 37.63806778267169, 22.627569003298984 37.6378953351824, 22.627916893261485 37.63787420026813, 22.62803507073334 37.637867020546565, 22.628191032512465 37.63794601915244, 22.62841171376021 37.637939266297394, 22.628529620068242 37.638079604698646, 22.628657486485366 37.63823179336634, 22.628713760160753 37.638395037520986, 22.628899067324415 37.638278295241314, 22.629094771633874 37.63813106618977, 22.629436316125556 37.638017679760985, 22.629474740441243 37.63631968207973, 22.62922988525756 37.636351788653016, 22.629044741348572 37.636376062586606, 22.628719527751983 37.636367145481685, 22.628592637726225 37.63635991129451, 22.62850113838868 37.636354692693175, 22.628319404679335 37.63631490643987, 22.62816492950807 37.6363335691422, 22.62810572307258 37.636545671700574, 22.628159153311184 37.63660973208332, 22.628193710270956 37.63659275005156, 22.628188845707452 37.63666623753611, 22.62805373521249 37.636827436607994, 22.627824474387864 37.63685882032346, 22.62764959157576 37.6368827607661, 22.627291366204066 37.636906262082356, 22.627188213138666 37.63691165005078, 22.627088077728477 37.63691687476753, 22.626636725492972 37.63700012631328, 22.62650681886413 37.637068670003536, 22.62610890362123 37.63727860297605, 22.62600501781292 37.63741481943804, 22.625968394007245 37.63751111768298, 22.625761496004742 37.637496089819344, 22.625782973041414 37.63779448170144, 22.625472018580776 37.63784790965462, 22.625315957761252 37.63790936066081, 22.62527570424076 37.637995918661126, 22.625257187896974 37.63803575552777)))"
V_SDI_R_PHOTOVOLTAICS13.13509,13509,Γ-01667,SUNERGY AE,ΑΔ-01053,ΑΓΡΟΤ.(50) ΠΟΝΤΟΗΡΑΚΛΕΙΑ,ΜΥΓΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΩΡΑΙΟΚΑΣΤΡΟΥ,0.94,30.84,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2006-07-28,2007-07-16,"MULTIPOLYGON (((22.91549598339708 40.79764280724755, 22.916017915434832 40.79688661357831, 22.916089195295903 40.796625494355645, 22.913494680477346 40.79599400799326, 22.91284219548239 40.79700227230581, 22.91549598339708 40.79764280724755)))"
V_SDI_R_PHOTOVOLTAICS13.11243,11243,Γ-03068,ΕΝEL GREEN POWER HELLAS A.E,ΑΔ-01762,ΠΕΖΟΥΛΙΩΤΙΚΑ,ΑΒΔΗΡΩΝ,ΞΑΝΘΗΣ,ΑΒΔΗΡΩΝ,3.5,34.379,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-12-07,2010-09-29,"MULTIPOLYGON (((24.9433203198867 41.021856255565964, 24.94175220175607 41.02282392340824, 24.94071711705286 41.021967611435976, 24.939148957536897 41.02293524428072, 24.942548450104834 41.02611432907278, 24.94411663352214 41.02514665022477, 24.945079421896832 41.02593146010847, 24.945688597893923 41.0252778902568, 24.944953196957975 41.024590308904216, 24.944163177163347 41.025074205266684, 24.94307814075775 41.024056180853236, 24.944646396731542 41.02309750197836, 24.9433203198867 41.021856255565964)))"
V_SDI_R_PHOTOVOLTAICS13.12432,12432,Γ-02167,ΙΠΠΟΘΟΗ ΕΝΕΡΓΕΙΑΚΗ ΜΟΝ. ΑΕ,ΑΔ-01815,ΠΗΓΑΔΙ Δ.Δ. ΚΑΤΟΥΝΑΣ,ΜΕΔΕΩΝΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,1.365,18.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-09-29,"MULTIPOLYGON (((21.11833293499558 38.728365323118545, 21.11842253059788 38.72835979740275, 21.11867473892536 38.72844582784277, 21.118754083282774 38.72847481248614, 21.118958732080706 38.72853391508956, 21.11920897944753 38.7286031510311, 21.119323155890623 38.728623985011005, 21.119494420692188 38.72865523577635, 21.119633385654698 38.72863163451936, 21.120060685201235 38.72858811394303, 21.120095878390604 38.72857096307655, 21.120192056359947 38.72875351867414, 21.120221825681607 38.72887137253796, 21.1202149553276 38.729042378571535, 21.120221744609353 38.72915966594206, 21.120224194684457 38.72938495711547, 21.120428847410086 38.72944405727989, 21.120566367440762 38.72945645623876, 21.120818065862647 38.729489687621985, 21.12113798247907 38.72954261808419, 21.121380436639097 38.729233269599696, 21.121416714215435 38.72918911735712, 21.120686368539204 38.72890878192829, 21.120972302574014 38.728395996318476, 21.11902431153874 38.72776073858821, 21.118945329574803 38.727722753842244, 21.118665319116054 38.727535663295434, 21.11860931720119 38.72749824511155, 21.118441673610583 38.727376990105064, 21.118350840806183 38.72734772187861, 21.11813678811348 38.72752262623943, 21.11801031068527 38.727807801448506, 21.117970413171523 38.727941955601864, 21.11800452090848 38.727951806275634, 21.118002349731505 38.72800580808474, 21.117859404878857 38.728128410730875, 21.11833293499558 38.728365323118545)))"
V_SDI_R_PHOTOVOLTAICS13.11579,11579,Γ-02321,ΙΠΠΟΘΟΗ ΕΝΕΡΓΕΙΑΚΗ ΜΟΝ. ΑΕ,ΑΔ-01827,ΠΑΛΙΟΣΤΑΝΗΣ - ΠΟΡΟΣ,ΜΕΔΕΩΝΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,1.995,34.928,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-09-29,"MULTIPOLYGON (((21.1025810562612 38.738201140635645, 21.102747029953683 38.73807912870617, 21.102830016588452 38.73801812264395, 21.10290005621521 38.73799283217964, 21.102922311092257 38.73801140251343, 21.10310965869259 38.73821425103211, 21.103403704369224 38.73833866240466, 21.103437814696836 38.73834851743288, 21.10347119739273 38.73837637279133, 21.103492361081663 38.738421943535634, 21.10349054198502 38.73846694438545, 21.103466103882973 38.73850237516839, 21.10344239340922 38.73851980560627, 21.104268968396383 38.73941419084444, 21.10446396131517 38.739428033751516, 21.104602951235115 38.73940445142267, 21.1046446996636 38.739225302391816, 21.10467204691167 38.73911786992687, 21.104683684585517 38.73882986421188, 21.10464732048647 38.738306429662934, 21.105106393291006 38.73804753176175, 21.105577681246157 38.73777091627984, 21.1057788499929 38.737631753623205, 21.105849978839903 38.73757946076317, 21.105909616304007 38.737526883152576, 21.105988014805792 38.737294586375086, 21.106054921548484 38.737062004831685, 21.1061462640114 38.7367939918044, 21.105344791429765 38.73670206025915, 21.1048544535742 38.73631152228675, 21.104915689550303 38.73593465371219, 21.104713942182155 38.73580352471739, 21.104592268694013 38.735683389359586, 21.10448245021705 38.73555453853824, 21.104461286619387 38.73550896796219, 21.10439634131451 38.73540825694313, 21.10435183230512 38.73537111685207, 21.104318086902932 38.73535226195507, 21.1040372130423 38.73547142782558, 21.103889137393697 38.73572001422114, 21.103825862669105 38.73586259258169, 21.10371334978263 38.73608503284561, 21.1035882537616 38.736334188565394, 21.10341391816562 38.73666320589738, 21.10330067496386 38.73690364598113, 21.103189250158653 38.737099085069, 21.10307964399781 38.737249523178924, 21.103030768279737 38.73732038459596, 21.102959637751216 38.73737267567072, 21.102783994350872 38.73744940215354, 21.102737301609654 38.73746626243556, 21.102446017408585 38.73755813851033, 21.10210803949102 38.737666873847004, 21.101862718849603 38.737759888704815, 21.10176896851747 38.737802608635526, 21.101663362748425 38.737854043520684, 21.10163892399461 38.73788947389753, 21.101638559949915 38.73789847405359, 21.101648595070735 38.737934759802755, 21.101681248774984 38.73798061595292, 21.101714266556662 38.73801747193876, 21.101735429015672 38.738063042956796, 21.101732516732433 38.7381350442087, 21.102514299399186 38.73814544180049, 21.102557709621216 38.738209570727165, 21.1025810562612 38.738201140635645)))"
V_SDI_R_PHOTOVOLTAICS13.12984,12984,Γ-02654,ΕΝΕΡΓΕΙΑΚΗ ΠΗΝΕΙΑΣ 2 ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΑΔ-01629,ΡΟΚΟΤΣΙΑ - ΤΣΕΛΙΚΕΪΚΑ,ΠΗΝΕΙΑΣ,ΗΛΕΙΑΣ,ΗΛΙΔΑΣ,1.299,21.676,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-08-09,2010-06-03,"MULTIPOLYGON (((21.555826843487562 37.84281214655017, 21.55594401377686 37.84304885622437, 21.556163628823747 37.842936272578584, 21.556102936740427 37.84270974684647, 21.556048184575445 37.84230311267881, 21.556903975658248 37.84219471342752, 21.557052787950212 37.84216176861213, 21.557012115797818 37.84201673689291, 21.55697174764655 37.84186271111469, 21.556909263907748 37.84169020418058, 21.556858736548975 37.84149993397704, 21.556807608346613 37.84132766268852, 21.556778292037034 37.8411828665982, 21.55674898248817 37.84103808133776, 21.556699638101833 37.84081178069783, 21.55629835119089 37.84092059388644, 21.556012099245613 37.8409867390251, 21.55566728796736 37.84110573371082, 21.5554838243227 37.84115598996114, 21.555208628414317 37.84123137378315, 21.555025164181096 37.84128162929572, 21.55491072199479 37.841306285186754, 21.554772981499905 37.84134848976053, 21.554951435443336 37.84179372767806, 21.555066228690613 37.842102487927356, 21.55511884035045 37.842229735467825, 21.555192080577562 37.84242048881306, 21.555381009009047 37.84289298749321, 21.555826843487562 37.84281214655017)))"
V_SDI_R_PHOTOVOLTAICS13.11769,11769,Γ-02059,SOLAR GATE AE,ΑΔ-01335,ΓΕΡΑΚΙ,ΓΕΡΟΝΘΡΩΝ,ΛΑΚΩΝΙΑΣ,ΕΥΡΩΤΑ,1.994,37.222,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-08,2009-12-15,"MULTIPOLYGON (((22.685011142794647 36.919533002930095, 22.684940968433388 36.919206735991025, 22.68501297746764 36.91894892590174, 22.685539118764492 36.91923192531385, 22.6857158513661 36.919046933730314, 22.686076717603942 36.91884739336098, 22.686325492057744 36.91894542135836, 22.686404027871184 36.91906599383035, 22.686359010387307 36.91920998798015, 22.68646593006636 36.91922694463131, 22.68652230954049 36.91903575337026, 22.686580505723196 36.91888262060915, 22.686653255227075 36.91873839216292, 22.68666734274684 36.91866319213692, 22.686676348362003 36.918557018412386, 22.686576690507852 36.91752761635271, 22.686628779077513 36.917521071359154, 22.686619989804313 36.917444446573185, 22.686625773463735 36.91662280771398, 22.68667335309419 36.916290001479894, 22.686684800100743 36.915989065317675, 22.686676940473827 36.91567493573013, 22.686703388703936 36.91559897093515, 22.68677050774544 36.91554067223837, 22.687006415141585 36.91548505057006, 22.68706048381777 36.91538910981399, 22.687065252961546 36.915353197243846, 22.687029587351894 36.915141788666126, 22.686993774491153 36.91496517192893, 22.68698118796053 36.914920143799364, 22.686999865492602 36.9148783456831, 22.686205696115536 36.914882454504735, 22.685986596985195 36.91488102255315, 22.68587442286024 36.914889336314694, 22.685585405906437 36.91491957998087, 22.685411367327223 36.9149416309002, 22.685449714390238 36.91533010169994, 22.685594988746026 36.91543392640665, 22.685494011961286 36.91550924649791, 22.685484753779527 36.916349505569386, 22.685402286917842 36.91660206245393, 22.685302745803956 36.91702524277489, 22.685189335865218 36.91724266352506, 22.685236660607572 36.91736974181881, 22.68513925857186 36.91744591237388, 22.685020159971675 36.917916108458655, 22.684932241940157 36.91804790913465, 22.684724173909792 36.91816188403478, 22.684614524020375 36.91834320026926, 22.684613751694698 36.91846659130441, 22.68456359235215 36.91879864683126, 22.684416659428592 36.91898712159027, 22.68437475939636 36.91910627126691, 22.684234440126573 36.91922991933666, 22.684089537099076 36.91935243479159, 22.683881307315225 36.919442880218234, 22.683481615810596 36.91946459101711, 22.682928877498174 36.91947513900406, 22.68273968280276 36.919672787816694, 22.682727091608765 36.91980434045344, 22.68288087755034 36.919733394251736, 22.68295825878352 36.91960751762199, 22.683291844076564 36.91967629592579, 22.68373888435142 36.91963005198836, 22.683826572642065 36.91965554133241, 22.68385536192507 36.91977673600975, 22.684011549811945 36.919781531255474, 22.684202758083224 36.91993039494922, 22.684446981909556 36.92000584185005, 22.684762260033743 36.92001645424839, 22.68506094225544 36.92007826101462, 22.68525269785 36.91992732854668, 22.685307082526588 36.91968906355117, 22.685011142794647 36.919533002930095), (22.684963290437146 36.919730407519204, 22.685101351177757 36.919770965890855, 22.68512746461465 36.91984543892579, 22.685103759948387 36.91995757918892, 22.685077336814707 36.91998613099146, 22.684915304072792 36.91998172312454, 22.6849413417353 36.91979912044875, 22.684963290437146 36.919730407519204)))"
V_SDI_R_PHOTOVOLTAICS13.12168,12168,Γ-02672,ΕΝΕΛ ΓΚΡΙΝ ΠΑΟΥΕΡ ΕΛΛΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΣΥΜΜΕΤΟΧΩΝ ΚΑΙ ΕΜΠΟΡΙΟΥ,ΑΔ-01777,ΙΑΣΜΟΣ,ΙΑΣΜΟΥ,ΡΟΔΟΠΗΣ,ΙΑΣΜΟΥ,2.72,42.732,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-08-09,2010-09-29,"MULTIPOLYGON (((25.095798425558815 41.11417994465517, 25.096749143159602 41.11762987892695, 25.097201247186902 41.11759855066318, 25.097546767155766 41.117604267150575, 25.098262526601978 41.11766950792076, 25.098101755778586 41.11445526921462, 25.095798425558815 41.11417994465517)), ((25.09361793706747 41.114128602104955, 25.093644196012736 41.11499309844155, 25.094135804518572 41.11590722257307, 25.094221112021653 41.116023513281355, 25.095077730293845 41.116681948328434, 25.095041769190626 41.11738489562493, 25.095273585151016 41.117715979087755, 25.096617541051796 41.11759510067885, 25.09613576904586 41.11584317197669, 25.096097944511907 41.11571742316621, 25.09573026823092 41.114378763788956, 25.09361793706747 41.114128602104955)))"
